"corpus","preloaded/eng_jsi_newsfeed_virt"
"subcorpus",""
"concordance size","282522"
"query","Query:[tag=""V.*""][]{0,1}[lemma=""coronavirus"" | lemma=""COVID-19""] within <doc (month=""2020-06"") />"
"relate to COVID-19",4436, 0.07174
"contract COVID-19",4340, 0.07019
"have COVID-19",4324, 0.06993
"test for COVID-19",3816, 0.06171
"confirm COVID-19",3045, 0.04924
"treat COVID-19",2919, 0.04721
"die from COVID-19",2765, 0.04472
"die of COVID-19",2574, 0.04163
"confirm coronavirus",2559, 0.04139
"cause by COVID-19",2491, 0.04029
"fight COVID-19",2446, 0.03956
"affect by COVID-19",2366, 0.03826
"recover from COVID-19",2298, 0.03716
"infect with COVID-19",2116, 0.03422
"impact by COVID-19",2026, 0.03277
"be COVID-19",1995, 0.03226
"follow the coronavirus",1986, 0.03212
"cause COVID-19",1932, 0.03125
"contract the coronavirus",1848, 0.02989
"diagnose with COVID-19",1846, 0.02985
"have coronavirus",1808, 0.02924
"fight the coronavirus",1665, 0.02693
"combat COVID-19",1642, 0.02656
"test for coronavirus",1455, 0.02353
"say the coronavirus",1432, 0.02316
"say COVID-19",1352, 0.02187
"spread COVID-19",1331, 0.02153
"die from coronavirus",1274, 0.02060
"contract coronavirus",1271, 0.02056
"contain the coronavirus",1231, 0.01991
"follow the COVID-19",1230, 0.01989
"die of coronavirus",1214, 0.01963
"get COVID-19",1198, 0.01937
"prevent COVID-19",1182, 0.01912
"infect with coronavirus",1179, 0.01907
"spread the coronavirus",1105, 0.01787
"combat the coronavirus",1099, 0.01777
"rise coronavirus",1085, 0.01755
"expose to COVID-19",1059, 0.01713
"say the COVID-19",1032, 0.01669
"regard COVID-19",986, 0.01595
"deal with COVID-19",980, 0.01585
"have the coronavirus",965, 0.01561
"associate with COVID-19",945, 0.01528
"respond to COVID-19",931, 0.01506
"treat coronavirus",911, 0.01473
"spread coronavirus",908, 0.01468
"follow COVID-19",908, 0.01468
"hospitalize with COVID-19",897, 0.01451
"include COVID-19",869, 0.01405
"contain COVID-19",869, 0.01405
"fight coronavirus",856, 0.01384
"fight the COVID-19",829, 0.01341
"rise COVID-19",774, 0.01252
"recover from coronavirus",762, 0.01232
"have contract COVID-19",755, 0.01221
"catch COVID-19",741, 0.01198
"battle COVID-19",717, 0.01160
"report [number] COVID-19",698, 0.01129
"cause by coronavirus",648, 0.01048
"catch coronavirus",647, 0.01046
"be coronavirus",636, 0.01029
"test COVID-19",622, 0.01006
"ease coronavirus",618, 0.00999
"get coronavirus",615, 0.00995
"develop COVID-19",603, 0.00975
"combat the COVID-19",602, 0.00974
"battle the coronavirus",600, 0.00970
"report COVID-19",597, 0.00965
"say coronavirus",595, 0.00962
"diagnose with coronavirus",590, 0.00954
"tackle the coronavirus",580, 0.00938
"relate to coronavirus",580, 0.00938
"surround COVID-19",578, 0.00935
"affect by coronavirus",572, 0.00925
"address COVID-19",568, 0.00919
"report [number] coronavirus",567, 0.00917
"succumb to COVID-19",560, 0.00906
"hit by COVID-19",559, 0.00904
"be [number] COVID-19",545, 0.00881
"pose by COVID-19",544, 0.00880
"tackle COVID-19",535, 0.00865
"combat coronavirus",535, 0.00865
"be the coronavirus",521, 0.00843
"handle the coronavirus",518, 0.00838
"catch the coronavirus",518, 0.00838
"prevent coronavirus",510, 0.00825
"hospitalize COVID-19",502, 0.00812
"address the COVID-19",500, 0.00809
"increase COVID-19",487, 0.00788
"contain the COVID-19",482, 0.00780
"provide COVID-19",470, 0.00760
"undergo COVID-19",455, 0.00736
"use COVID-19",441, 0.00713
"be a COVID-19",440, 0.00712
"link to COVID-19",439, 0.00710
"take COVID-19",437, 0.00707
"follow coronavirus",431, 0.00697
"use the coronavirus",420, 0.00679
"say that COVID-19",417, 0.00674
"recover COVID-19",416, 0.00673
"surround the coronavirus",411, 0.00665
"have [number] COVID-19",409, 0.00661
"attribute to COVID-19",407, 0.00658
"report coronavirus",406, 0.00657
"record [number] COVID-19",405, 0.00655
"manage COVID-19",405, 0.00655
"handle COVID-19",396, 0.00640
"conduct COVID-19",393, 0.00636
"ease COVID-19",391, 0.00632
"deal with coronavirus",391, 0.00632
"survive the coronavirus",387, 0.00626
"keep COVID-19",380, 0.00615
"survive COVID-19",377, 0.00610
"create by COVID-19",370, 0.00598
"have a COVID-19",368, 0.00595
"give the COVID-19",367, 0.00594
"get the coronavirus",358, 0.00579
"battle coronavirus",349, 0.00564
"support COVID-19",348, 0.00563
"make COVID-19",348, 0.00563
"be the COVID-19",347, 0.00561
"reduce COVID-19",343, 0.00555
"be a coronavirus",343, 0.00555
"regard the coronavirus",342, 0.00553
"have contract coronavirus",341, 0.00551
"see COVID-19",339, 0.00548
"contain coronavirus",338, 0.00547
"control COVID-19",337, 0.00545
"show COVID-19",336, 0.00543
"suffer from COVID-19",335, 0.00542
"detect COVID-19",329, 0.00532
"tackle the COVID-19",327, 0.00529
"control the coronavirus",326, 0.00527
"result from COVID-19",325, 0.00526
"handle the COVID-19",323, 0.00522
"transmit COVID-19",316, 0.00511
"have have COVID-19",316, 0.00511
"use the COVID-19",314, 0.00508
"develop a COVID-19",313, 0.00506
"declare COVID-19",309, 0.00500
"address the coronavirus",305, 0.00493
"tackle coronavirus",304, 0.00492
"increase coronavirus",301, 0.00487
"surround the COVID-19",298, 0.00482
"regard the COVID-19",298, 0.00482
"give the coronavirus",294, 0.00475
"hospitalize for COVID-19",292, 0.00472
"infect by COVID-19",288, 0.00466
"curb the coronavirus",288, 0.00466
"present by COVID-19",287, 0.00464
"manage the COVID-19",287, 0.00464
"record [number] coronavirus",286, 0.00463
"hit by coronavirus",284, 0.00459
"battle the COVID-19",284, 0.00459
"experience COVID-19",280, 0.00453
"offer COVID-19",278, 0.00450
"come to COVID-19",274, 0.00443
"cure COVID-19",271, 0.00438
"focus on COVID-19",270, 0.00437
"protect against COVID-19",268, 0.00433
"post COVID-19",262, 0.00424
"track COVID-19",260, 0.00420
"die with coronavirus",258, 0.00417
"get a COVID-19",256, 0.00414
"be [number] coronavirus",254, 0.00411
"screen for COVID-19",253, 0.00409
"curb COVID-19",252, 0.00408
"fight against COVID-19",251, 0.00406
"call COVID-19",251, 0.00406
"treat for COVID-19",248, 0.00401
"cope with COVID-19",248, 0.00401
"find COVID-19",245, 0.00396
"regard coronavirus",240, 0.00388
"prevent the coronavirus",239, 0.00387
"lift coronavirus",239, 0.00387
"weather the coronavirus",237, 0.00383
"keep the coronavirus",235, 0.00380
"know COVID-19",234, 0.00378
"take a COVID-19",231, 0.00374
"cite the coronavirus",231, 0.00374
"get a coronavirus",230, 0.00372
"expose to coronavirus",230, 0.00372
"survive the COVID-19",226, 0.00365
"cite COVID-19",226, 0.00365
"weather the COVID-19",224, 0.00362
"include the coronavirus",223, 0.00361
"have the COVID-19",223, 0.00361
"beat COVID-19",223, 0.00361
"navigate the COVID-19",222, 0.00359
"diagnose COVID-19",222, 0.00359
