"corpus","preloaded/eng_jsi_newsfeed_virt"
"subcorpus",""
"concordance size","575204"
"query","Query:[tag=""V.*""][]{0,1}[lemma=""coronavirus"" | lemma=""COVID-19""] within <doc (month=""2020-04"") />"
"have COVID-19",9719, 0.15718
"relate to COVID-19",8882, 0.14364
"contract COVID-19",8015, 0.12962
"fight COVID-19",8003, 0.12943
"fight the coronavirus",7614, 0.12314
"treat COVID-19",7515, 0.12154
"confirm COVID-19",7066, 0.11427
"confirm coronavirus",6874, 0.11117
"die from COVID-19",6084, 0.09839
"test for COVID-19",5610, 0.09073
"have coronavirus",5367, 0.08680
"die of COVID-19",4986, 0.08064
"recover from COVID-19",4770, 0.07714
"combat COVID-19",4770, 0.07714
"fight coronavirus",4574, 0.07397
"die from coronavirus",4564, 0.07381
"affect by COVID-19",4545, 0.07350
"infect with COVID-19",4388, 0.07096
"diagnose with COVID-19",4365, 0.07059
"combat the coronavirus",4195, 0.06784
"treat coronavirus",4120, 0.06663
"die of coronavirus",4076, 0.06592
"contract the coronavirus",4062, 0.06569
"impact by COVID-19",3722, 0.06019
"cause by COVID-19",3672, 0.05938
"be COVID-19",3582, 0.05793
"cause COVID-19",3325, 0.05377
"contain the coronavirus",3088, 0.04994
"contract coronavirus",3081, 0.04983
"infect with coronavirus",2952, 0.04774
"have the coronavirus",2894, 0.04680
"say the coronavirus",2846, 0.04603
"test for coronavirus",2824, 0.04567
"fight the COVID-19",2734, 0.04422
"battle the coronavirus",2532, 0.04095
"spread coronavirus",2292, 0.03707
"battle COVID-19",2239, 0.03621
"spread COVID-19",2176, 0.03519
"recover from coronavirus",2172, 0.03513
"respond to COVID-19",2170, 0.03509
"deal with COVID-19",2069, 0.03346
"combat coronavirus",2020, 0.03267
"get COVID-19",1988, 0.03215
"contain COVID-19",1947, 0.03149
"regard COVID-19",1940, 0.03137
"say COVID-19",1933, 0.03126
"tackle the coronavirus",1924, 0.03112
"expose to COVID-19",1864, 0.03015
"spread the coronavirus",1851, 0.02994
"combat the COVID-19",1789, 0.02893
"diagnose with coronavirus",1770, 0.02863
"relate to coronavirus",1729, 0.02796
"follow the coronavirus",1704, 0.02756
"have contract COVID-19",1703, 0.02754
"prevent COVID-19",1698, 0.02746
"associate with COVID-19",1647, 0.02664
"be coronavirus",1602, 0.02591
"cause by coronavirus",1575, 0.02547
"get coronavirus",1568, 0.02536
"battle coronavirus",1564, 0.02529
"affect by coronavirus",1523, 0.02463
"say the COVID-19",1389, 0.02246
"use the coronavirus",1388, 0.02245
"catch coronavirus",1362, 0.02203
"say coronavirus",1270, 0.02054
"be the coronavirus",1255, 0.02030
"handle the coronavirus",1238, 0.02002
"deal with coronavirus",1213, 0.01962
"catch COVID-19",1201, 0.01942
"contain the COVID-19",1165, 0.01884
"tackle COVID-19",1118, 0.01808
"know as COVID-19",1112, 0.01798
"address the COVID-19",1109, 0.01794
"surround COVID-19",1076, 0.01740
"hospitalize with COVID-19",1053, 0.01703
"prevent coronavirus",1051, 0.01700
"regard the coronavirus",1025, 0.01658
"include COVID-19",1022, 0.01653
"report COVID-19",1021, 0.01651
"contain coronavirus",999, 0.01616
"follow the COVID-19",988, 0.01598
"address COVID-19",983, 0.01590
"recover COVID-19",981, 0.01587
"tackle coronavirus",977, 0.01580
"catch the coronavirus",966, 0.01562
"survive the coronavirus",965, 0.01561
"pose by COVID-19",953, 0.01541
"surround the coronavirus",932, 0.01507
"address the coronavirus",932, 0.01507
"report [number] coronavirus",923, 0.01493
"hit by COVID-19",914, 0.01478
"report coronavirus",913, 0.01477
"support COVID-19",909, 0.01470
"test COVID-19",902, 0.01459
"develop COVID-19",902, 0.01459
"have contract coronavirus",878, 0.01420
"get the coronavirus",874, 0.01413
"call COVID-19",865, 0.01399
"report [number] COVID-19",848, 0.01371
"fight against COVID-19",843, 0.01363
"be [number] COVID-19",843, 0.01363
"succumb to COVID-19",840, 0.01358
"suffer from COVID-19",837, 0.01354
"handle COVID-19",832, 0.01346
"battle the COVID-19",827, 0.01337
"treat the coronavirus",816, 0.01320
"curb the coronavirus",805, 0.01302
"ease coronavirus",774, 0.01252
