Concordance,Frequency,Pmil,Verb,Count
confirm coronavirus,1640,0.02652,confirm,1
have coronavirus,1345,0.02175,have,1
infect with coronavirus,1121,0.01813,infect,1
diagnose with coronavirus,1071,0.01732,diagnose,1
spread coronavirus,1057,0.01709,spread,1
say the coronavirus,985,0.01593,say,1
know as COVID-19,956,0.01546,know,1
test for coronavirus,924,0.01494,test,1
have the coronavirus,875,0.01415,have,1
contain the coronavirus,811,0.01312,contain,1
contract the coronavirus,768,0.01242,contract,1
fight the coronavirus,630,0.01019,fight,1
contract coronavirus,571,0.00923,contract,1
treat coronavirus,524,0.00847,treat,1
be the coronavirus,496,0.008020000000000001,be,1
combat the coronavirus,487,0.00788,combat,1
name COVID-19,468,0.00757,name,1
regard the coronavirus,447,0.007229999999999999,regard,1
call COVID-19,443,0.00716,call,1
fight coronavirus,435,0.00703,fight,1
surround the coronavirus,434,0.00702,surround,1
follow the coronavirus,434,0.00702,follow,1
be coronavirus,432,0.0069900000000000006,be,1
say coronavirus,407,0.00658,say,1
affect by coronavirus,376,0.00608,affect,1
infect with COVID-19,373,0.00603,infect,1
die from coronavirus,364,0.00589,die,1
confirm COVID-19,354,0.00573,confirm,1
prevent coronavirus,342,0.005529999999999999,prevent,1
declare the coronavirus,325,0.00526,declare,1
grow coronavirus,318,0.00514,grow,1
have COVID-19,307,0.00496,have,1
relate to coronavirus,285,0.00461,relate,1
die of coronavirus,281,0.00454,die,1
catch coronavirus,277,0.00448,catch,1
combat coronavirus,275,0.00445,combat,1
diagnose with COVID-19,268,0.00433,diagnose,1
contain coronavirus,267,0.00432,contain,1
catch the coronavirus,258,0.00417,catch,1
have contract coronavirus,252,0.004079999999999999,have contract,2
expect the coronavirus,248,0.0040100000000000005,expect,1
monitor the coronavirus,247,0.00399,monitor,1
prevent the coronavirus,244,0.00395,prevent,1
report coronavirus,243,0.00393,report,1
test for COVID-19,239,0.00387,test,1
be a coronavirus,237,0.00383,be,1
prepare for coronavirus,230,0.00372,prepare,1
get coronavirus,228,0.00369,get,1
hit by coronavirus,224,0.00362,hit,1
contract COVID-19,220,0.00356,contract,1
deal with coronavirus,216,0.00349,deal,1
regard coronavirus,215,0.00348,regard,1
cause COVID-19,208,0.00336,cause,1
cause by coronavirus,206,0.00333,cause,1
declare coronavirus,199,0.00322,declare,1
spread the coronavirus,189,0.00306,spread,1
battle the coronavirus,183,0.00296,battle,1
treat the coronavirus,182,0.00294,treat,1
handle the coronavirus,178,0.00288,handle,1
get the coronavirus,173,0.0028,get,1
address the coronavirus,173,0.0028,address,1
tackle the coronavirus,172,0.00278,tackle,1
screen for coronavirus,172,0.00278,screen,1
discuss the coronavirus,168,0.00272,discuss,1
warn the coronavirus,165,0.00267,warn,1
include the coronavirus,165,0.00267,include,1
expose to coronavirus,162,0.00262,expose,1
call the coronavirus,159,0.00257,call,1
treat COVID-19,155,0.00251,treat,1
use the coronavirus,147,0.00238,use,1
carry the coronavirus,146,0.00236,carry,1
relate to COVID-19,145,0.00234,relate,1
control the coronavirus,145,0.00234,control,1
infect by coronavirus,144,0.00233,infect,1
stop the coronavirus,140,0.0022600000000000003,stop,1
develop coronavirus,140,0.0022600000000000003,develop,1
tackle coronavirus,136,0.0022,tackle,1
cite coronavirus,132,0.00213,cite,1
be no coronavirus,132,0.00213,be,1
surround coronavirus,129,0.00209,surround,1
handle coronavirus,126,0.00204,handle,1
give the coronavirus,126,0.00204,give,1
confirm novel coronavirus,124,0.00201,confirm,1
follow coronavirus,123,0.00199,follow,1
affect by COVID-19,123,0.00199,affect,1
diagnose coronavirus,121,0.00196,diagnose,1
worsen coronavirus,120,0.00194,worsen,1
think the coronavirus,118,0.00191,think,1
spread of coronavirus,117,0.00189,spread,1
detect coronavirus,117,0.00189,detect,1
contain COVID-19,115,0.00186,contain,1
dub COVID-19,114,0.00184,dub,1
discuss coronavirus,114,0.00184,discuss,1
rise coronavirus,112,0.00181,rise,1
cite the coronavirus,110,0.00178,cite,1
develop a coronavirus,108,0.00175,develop,1
concern the coronavirus,108,0.00175,concern,1
be COVID-19,108,0.00175,be,1
worry about coronavirus,107,0.00173,worry,1
identify coronavirus,107,0.00173,identify,1
die from COVID-19,105,0.0017,die,1
cancel over coronavirus,105,0.0017,cancel,1
protect against coronavirus,104,0.00168,protect,1
fight COVID-19,103,0.0016699999999999998,fight,1
avoid coronavirus,103,0.0016699999999999998,avoid,1
suffer from coronavirus,102,0.00165,suffer,1
stop coronavirus,102,0.00165,stop,1
believe the coronavirus,102,0.00165,believe,1
know as coronavirus,101,0.0016300000000000002,know,1
see the coronavirus,99,0.0016,see,1
prevent COVID-19,99,0.0016,prevent,1
impact by coronavirus,99,0.0016,impact,1
warn coronavirus,98,0.00158,warn,1
say COVID-19,98,0.00158,say,1
recover from coronavirus,98,0.00158,recover,1
keep the coronavirus,97,0.00157,keep,1
have a coronavirus,97,0.00157,have,1
include coronavirus,94,0.00152,include,1
take the coronavirus,93,0.0015,take,1
combat COVID-19,90,0.00146,combat,1
warn of coronavirus,89,0.00144,warn,1
emerge coronavirus,89,0.00144,emerge,1
cure coronavirus,88,0.0014199999999999998,cure,1
curb the coronavirus,88,0.0014199999999999998,curb,1
monitor for coronavirus,87,0.00141,monitor,1
monitor coronavirus,86,0.00139,monitor,1
use coronavirus,85,0.00137,use,1
respond to coronavirus,85,0.00137,respond,1
have contract COVID-19,85,0.00137,have contract,2
call coronavirus,85,0.00137,call,1
link to coronavirus,82,0.00133,link,1
suggest the coronavirus,81,0.00131,suggest,1
confirm [number] coronavirus,81,0.00131,confirm,1
carry coronavirus,81,0.00131,carry,1
escalate coronavirus,80,0.00129,escalate,1
address coronavirus,79,0.00128,address,1
know coronavirus,78,0.00126,know,1
say that coronavirus,76,0.00123,say,1
cause by COVID-19,74,0.0012,cause,1
suspect coronavirus,73,0.00118,suspect,1
see coronavirus,73,0.00118,see,1
predict the coronavirus,72,0.00116,predict,1
fear the coronavirus,72,0.00116,fear,1
concern about coronavirus,71,0.00115,concern,1
regard COVID-19,70,0.00113,regard,1
mention the coronavirus,70,0.00113,mention,1
report [number] coronavirus,69,0.00112,report,1
manage the coronavirus,69,0.00112,manage,1
contain the COVID-19,69,0.00112,contain,1
confirm first coronavirus,69,0.00112,confirm,1
associate with coronavirus,69,0.00112,associate,1
evolve coronavirus,68,0.0011,evolve,1
know about coronavirus,67,0.00108,know,1
show coronavirus,66,0.00107,show,1
treat for coronavirus,65,0.00105,treat,1
spread COVID-19,65,0.00105,spread,1
detect the coronavirus,65,0.00105,detect,1
confirm with coronavirus,65,0.00105,confirm,1
talk about coronavirus,64,0.00104,talk,1
recover from COVID-19,64,0.00104,recover,1
make the coronavirus,64,0.00104,make,1
die of COVID-19,61,0.00099,die,1
suspect of coronavirus,60,0.00097,suspect,1
quarantine for coronavirus,60,0.00097,quarantine,1
say the COVID-19,59,0.00095,say,1
quarantine coronavirus,59,0.00095,quarantine,1
be [number] coronavirus,59,0.00095,be,1
battle coronavirus,59,0.00095,battle,1
include COVID-19,58,0.00094,include,1
pose by coronavirus,57,0.00092,pose,1
get COVID-19,57,0.00092,get,1
fight the COVID-19,57,0.00092,fight,1
expect coronavirus,57,0.00092,expect,1
treat novel coronavirus,56,0.00091,treat,1
cure the coronavirus,56,0.00091,cure,1
catch COVID-19,56,0.00091,catch,1
expose to COVID-19,55,0.0008900000000000002,expose,1
make coronavirus,54,0.0008699999999999999,make,1
have the COVID-19,54,0.0008699999999999999,have,1
have novel coronavirus,54,0.0008699999999999999,have,1
respond to COVID-19,53,0.00086,respond,1
kill coronavirus,53,0.00086,kill,1
contract the COVID-19,53,0.00086,contract,1
blame the coronavirus,53,0.00086,blame,1
recover coronavirus,52,0.00084,recover,1
prepare for COVID-19,52,0.00084,prepare,1
cope with coronavirus,52,0.00084,cope,1
control coronavirus,52,0.00084,control,1
deal with COVID-19,51,0.00082,deal,1
bring coronavirus,51,0.00082,bring,1
be name COVID-19,51,0.00082,be name,2
avoid the coronavirus,51,0.00082,avoid,1
rename COVID-19,50,0.00081,rename,1
quarantine over coronavirus,50,0.00081,quarantine,1
counter coronavirus,50,0.00081,counter,1
report first coronavirus,49,0.00079,report,1
politicize the coronavirus,49,0.00079,politicize,1
face coronavirus,49,0.00079,face,1
expand coronavirus,49,0.00079,expand,1
describe the coronavirus,49,0.00079,describe,1
cover the coronavirus,49,0.00079,cover,1
bring the coronavirus,49,0.00079,bring,1
take coronavirus,48,0.00078,take,1
mount coronavirus,48,0.00078,mount,1
develop COVID-19,48,0.00078,develop,1
contain a coronavirus,48,0.00078,contain,1
claim the coronavirus,48,0.00078,claim,1
infect by COVID-19,47,0.0007599999999999999,infect,1
follow the COVID-19,47,0.0007599999999999999,follow,1
counter the coronavirus,47,0.0007599999999999999,counter,1
surround COVID-19,46,0.00074,surround,1
follow a coronavirus,46,0.00074,follow,1
detect COVID-19,46,0.00074,detect,1
kill the coronavirus,45,0.00073,kill,1
confirm the coronavirus,45,0.00073,confirm,1
concern coronavirus,45,0.00073,concern,1
compare the coronavirus,45,0.00073,compare,1
be call COVID-19,45,0.00073,be call,2
assume the coronavirus,45,0.00073,assume,1
track the coronavirus,43,0.0007,track,1
face the coronavirus,43,0.0007,face,1
do the coronavirus,43,0.0007,do,1
defeat the coronavirus,43,0.0007,defeat,1
combat the COVID-19,43,0.0007,combat,1
blame coronavirus,43,0.0007,blame,1
keep coronavirus,42,0.0006799999999999999,keep,1
diagnose the coronavirus,42,0.0006799999999999999,diagnose,1
diagnose COVID-19,42,0.0006799999999999999,diagnose,1
confirm a coronavirus,42,0.0006799999999999999,confirm,1
postpone over coronavirus,41,0.00066,postpone,1
lead the coronavirus,41,0.00066,lead,1
have catch coronavirus,41,0.00066,have catch,2
clear of coronavirus,41,0.00066,clear,1
cause the COVID-19,41,0.00066,cause,1
associate with COVID-19,41,0.00066,associate,1
unfold coronavirus,40,0.00065,unfold,1
track coronavirus,40,0.00065,track,1
regard the COVID-19,40,0.00065,regard,1
prevent a coronavirus,40,0.00065,prevent,1
predict coronavirus,40,0.00065,predict,1
focus on coronavirus,40,0.00065,focus,1
come to coronavirus,40,0.00065,come,1
undergo coronavirus,39,0.00063,undergo,1
test coronavirus,39,0.00063,test,1
pose by COVID-19,39,0.00063,pose,1
mention coronavirus,39,0.00063,mention,1
help fight coronavirus,39,0.00063,help fight,2
have no coronavirus,39,0.00063,have,1
discover coronavirus,39,0.00063,discover,1
transmit the coronavirus,38,0.00061,transmit,1
ease coronavirus,38,0.00061,ease,1
cause the coronavirus,38,0.00061,cause,1
report COVID-19,37,0.0006,report,1
overcome the coronavirus,37,0.0006,overcome,1
have [number] coronavirus,37,0.0006,have,1
consider the coronavirus,37,0.0006,consider,1
confront the coronavirus,37,0.0006,confront,1
believe coronavirus,37,0.0006,believe,1
mean the coronavirus,36,0.00058,mean,1
increase coronavirus,36,0.00058,increase,1
downplay the coronavirus,36,0.00058,downplay,1
declare COVID-19,36,0.00058,declare,1
check for coronavirus,36,0.00058,check,1
spread novel coronavirus,35,0.00057,spread,1
lead coronavirus,35,0.00057,lead,1
hope the coronavirus,35,0.00057,hope,1
fight novel coronavirus,35,0.00057,fight,1
create a coronavirus,35,0.00057,create,1
be that coronavirus,35,0.00057,be,1
say a coronavirus,34,0.00055,say,1
raise its coronavirus,34,0.00055,raise,1
owe to coronavirus,34,0.00055,owe,1
fall as coronavirus,34,0.00055,fall,1
curb coronavirus,34,0.00055,curb,1
watch the coronavirus,33,0.00053,watch,1
have report coronavirus,33,0.00053,have report,2
fight against coronavirus,33,0.00053,fight,1
do with coronavirus,33,0.00053,do,1
confirm new coronavirus,33,0.00053,confirm,1
brace for coronavirus,33,0.00053,brace,1
warn that coronavirus,32,0.0005200000000000001,warn,1
warn on coronavirus,32,0.0005200000000000001,warn,1
warn about coronavirus,32,0.0005200000000000001,warn,1
know the coronavirus,32,0.0005200000000000001,know,1
impact by COVID-19,32,0.0005200000000000001,impact,1
hit by COVID-19,32,0.0005200000000000001,hit,1
have declare coronavirus,32,0.0005200000000000001,have declare,2
close over coronavirus,32,0.0005200000000000001,close,1
claim coronavirus,32,0.0005200000000000001,claim,1
cause coronavirus,32,0.0005200000000000001,cause,1
be not coronavirus,32,0.0005200000000000001,be,1
address COVID-19,32,0.0005200000000000001,address,1
view the coronavirus,31,0.0005,view,1
shrug off coronavirus,31,0.0005,shrug,1
say that COVID-19,31,0.0005,say,1
know about COVID-19,31,0.0005,know,1
hit from coronavirus,31,0.0005,hit,1
have confirm coronavirus,31,0.0005,have confirm,2
stem the coronavirus,30,0.00049,stem,1
manage coronavirus,30,0.00049,manage,1
cover coronavirus,30,0.00049,cover,1
show the coronavirus,29,0.00047,show,1
let the coronavirus,29,0.00047,let,1
work on coronavirus,28,0.00045,work,1
receive coronavirus,28,0.00045,receive,1
note the coronavirus,28,0.00045,note,1
escape coronavirus,28,0.00045,escape,1
affect with coronavirus,28,0.00045,affect,1
worry about COVID-19,27,0.00044,worry,1
understand the coronavirus,27,0.00044,understand,1
think coronavirus,27,0.00044,think,1
put the coronavirus,27,0.00044,put,1
postpone amid coronavirus,27,0.00044,postpone,1
name as COVID-19,27,0.00044,name,1
kill by coronavirus,27,0.00044,kill,1
involve the coronavirus,27,0.00044,involve,1
conduct coronavirus,27,0.00044,conduct,1
come the coronavirus,27,0.00044,come,1
cancel amid coronavirus,27,0.00044,cancel,1
be that COVID-19,27,0.00044,be,1
weather the coronavirus,26,0.00042,weather,1
treat for COVID-19,26,0.00042,treat,1
tackle COVID-19,26,0.00042,tackle,1
succumb to coronavirus,26,0.00042,succumb,1
send coronavirus,26,0.00042,send,1
report the coronavirus,26,0.00042,report,1
raise coronavirus,26,0.00042,raise,1
link the coronavirus,26,0.00042,link,1
investigate the coronavirus,26,0.00042,investigate,1
fear coronavirus,26,0.00042,fear,1
come as coronavirus,26,0.00042,come,1
suspect COVID-19,25,0.0004,suspect,1
