Concordance,Frequency,Pmil,Verb,Count
contract COVID-19,5147,4.48678,contract,1
have COVID-19,4297,3.7458099999999996,have,1
relate to COVID-19,3243,2.82701,relate,1
test for COVID-19,2454,2.13922,test,1
die from COVID-19,2283,1.99015,die,1
recover from COVID-19,2195,1.9134400000000005,recover,1
diagnose with COVID-19,2139,1.8646200000000002,diagnose,1
contract the coronavirus,2097,1.82801,contract,1
confirm COVID-19,1956,1.7051,confirm,1
infect with COVID-19,1857,1.6188,infect,1
die of COVID-19,1779,1.5508,die,1
cause COVID-19,1692,1.47496,cause,1
cause by COVID-19,1690,1.47322,cause,1
treat COVID-19,1569,1.36774,treat,1
have coronavirus,1557,1.3572799999999998,have,1
impact by COVID-19,1550,1.3511799999999998,impact,1
get COVID-19,1544,1.34595,get,1
affect by COVID-19,1508,1.31456,affect,1
be COVID-19,1493,1.30149,be,1
confirm coronavirus,1458,1.27098,confirm,1
fight COVID-19,1387,1.20909,fight,1
say COVID-19,1358,1.18381,say,1
hospitalize with COVID-19,1357,1.18293,hospitalize,1
follow COVID-19,1351,1.1777,follow,1
rise coronavirus,1309,1.14109,rise,1
contract coronavirus,1248,1.08792,contract,1
rise COVID-19,1243,1.08356,rise,1
have contract COVID-19,1181,1.0295100000000001,have contract,2
expose to COVID-19,1086,0.9467,expose,1
spread COVID-19,1067,0.9301299999999999,spread,1
combat COVID-19,909,0.7924,combat,1
catch COVID-19,878,0.7653800000000001,catch,1
prevent COVID-19,853,0.74358,prevent,1
include COVID-19,847,0.73835,include,1
say the coronavirus,843,0.73487,say,1
have the coronavirus,815,0.7104600000000001,have,1
fight the coronavirus,812,0.7078399999999999,fight,1
associate with COVID-19,807,0.70348,associate,1
deal with COVID-19,803,0.7,deal,1
say the COVID-19,797,0.69477,say,1
test for coronavirus,754,0.65728,test,1
regard COVID-19,744,0.64856,regard,1
follow the COVID-19,714,0.62241,follow,1
infect with coronavirus,699,0.60934,infect,1
hospitalize COVID-19,682,0.5945199999999999,hospitalize,1
die from coronavirus,676,0.58929,die,1
battle COVID-19,660,0.57534,battle,1
combat the coronavirus,656,0.57185,combat,1
contain the coronavirus,638,0.55616,contain,1
catch coronavirus,614,0.5352399999999999,catch,1
handle the coronavirus,606,0.52827,handle,1
report COVID-19,594,0.51781,report,1
recover from coronavirus,583,0.50822,recover,1
contain COVID-19,578,0.5038600000000001,contain,1
spread the coronavirus,576,0.5021100000000001,spread,1
increase COVID-19,573,0.4995,increase,1
follow the coronavirus,572,0.49863,follow,1
diagnose with coronavirus,570,0.49688000000000004,diagnose,1
report [number] COVID-19,558,0.48641999999999996,report,1
take COVID-19,545,0.47508999999999996,take,1
get coronavirus,537,0.46812,get,1
respond to COVID-19,512,0.44632,respond,1
be [number] COVID-19,504,0.43935,be,1
treat for COVID-19,497,0.43325,treat,1
catch the coronavirus,482,0.42017,catch,1
die of coronavirus,477,0.41581,die,1
get a COVID-19,476,0.41494,get,1
be the coronavirus,468,0.40797,be,1
take a COVID-19,467,0.4071,take,1
have a COVID-19,463,0.40360999999999997,have,1
develop COVID-19,459,0.40012,develop,1
say . COVID-19,452,0.39402,say,1
spread coronavirus,450,0.39228,spread,1
hospitalize for COVID-19,449,0.39141,hospitalize,1
treat coronavirus,422,0.36787,treat,1
address COVID-19,411,0.35828000000000004,address,1
violate COVID-19,409,0.35654,violate,1
pose by COVID-19,405,0.35305,pose,1
keep COVID-19,405,0.35305,keep,1
fight the COVID-19,405,0.35305,fight,1
provide COVID-19,404,0.35218,provide,1
be a COVID-19,399,0.34781999999999996,be,1
have contract coronavirus,395,0.34433,have contract,2
battle the coronavirus,391,0.34085,battle,1
follow coronavirus,390,0.33997,follow,1
attribute to COVID-19,384,0.33474,attribute,1
say that COVID-19,380,0.33126,say,1
handle COVID-19,380,0.33126,handle,1
break coronavirus,380,0.33126,break,1
surround COVID-19,377,0.32864,surround,1
fight coronavirus,374,0.32603000000000004,fight,1
adhere to COVID-19,369,0.32166999999999996,adhere,1
say coronavirus,364,0.31731,say,1
be coronavirus,364,0.31731,be,1
link to COVID-19,363,0.31644,link,1
hit by COVID-19,363,0.31644,hit,1
test COVID-19,361,0.31469,test,1
get the coronavirus,348,0.30336,get,1
detect COVID-19,340,0.29639,detect,1
combat the COVID-19,337,0.29377,combat,1
be the COVID-19,336,0.2929,be,1
manage COVID-19,332,0.28941,manage,1
address the COVID-19,330,0.28767,address,1
relate to coronavirus,327,0.28505,relate,1
surge coronavirus,325,0.28331,surge,1
take a coronavirus,324,0.28244,take,1
report coronavirus,323,0.28157,report,1
come to COVID-19,323,0.28157,come,1
use COVID-19,319,0.27808,use,1
affect by coronavirus,317,0.27634000000000003,affect,1
breach coronavirus,316,0.27547,breach,1
tackle the coronavirus,313,0.27285,tackle,1
cause by coronavirus,306,0.26675,cause,1
have have COVID-19,305,0.26588,have have,2
control COVID-19,301,0.26239,control,1
reduce COVID-19,300,0.26152,reduce,1
handle the COVID-19,293,0.25542,handle,1
control the coronavirus,293,0.25542,control,1
comply with COVID-19,289,0.25193000000000004,comply,1
make COVID-19,288,0.25106,make,1
survive COVID-19,286,0.24931,survive,1
report [number] coronavirus,286,0.24931,report,1
tackle COVID-19,285,0.24844000000000002,tackle,1
succumb to COVID-19,285,0.24844000000000002,succumb,1
contain the COVID-19,276,0.2406,contain,1
have [number] COVID-19,275,0.23972,have,1
experience COVID-19,274,0.23885,experience,1
take the coronavirus,266,0.2318800000000001,take,1
give the COVID-19,264,0.23014,give,1
record [number] COVID-19,263,0.22926,record,1
increase coronavirus,261,0.22751999999999997,increase,1
deal with coronavirus,261,0.22751999999999997,deal,1
see COVID-19,260,0.22665,see,1
undergo COVID-19,255,0.22229000000000002,undergo,1
result from COVID-19,255,0.22229000000000002,result,1
get a coronavirus,255,0.22229000000000002,get,1
develop a COVID-19,253,0.22055,develop,1
create by COVID-19,252,0.21968000000000001,create,1
cite COVID-19,251,0.2188,cite,1
regard the coronavirus,249,0.21706,regard,1
offer COVID-19,247,0.21531999999999998,offer,1
beat COVID-19,246,0.21444000000000002,beat,1
battle coronavirus,239,0.20834,battle,1
include the coronavirus,238,0.20747,include,1
be a coronavirus,238,0.20747,be,1
curb COVID-19,237,0.2066,curb,1
take coronavirus,236,0.20573000000000002,take,1
prevent coronavirus,235,0.20486,prevent,1
suffer from COVID-19,234,0.20398,suffer,1
manage the COVID-19,234,0.20398,manage,1
recover COVID-19,233,0.20310999999999998,recover,1
break COVID-19,231,0.20137,break,1
show COVID-19,230,0.2005,show,1
track COVID-19,225,0.19614,track,1
address the coronavirus,225,0.19614,address,1
let COVID-19,224,0.19527,let,1
transmit COVID-19,223,0.1944,transmit,1
receive COVID-19,223,0.1944,receive,1
give COVID-19,221,0.19265,give,1
conduct COVID-19,221,0.19265,conduct,1
combat coronavirus,218,0.19004000000000001,combat,1
be [number] coronavirus,218,0.19004000000000001,be,1
include the COVID-19,217,0.18916,include,1
protect against COVID-19,216,0.18829,protect,1
discuss COVID-19,214,0.18655,discuss,1
present by COVID-19,211,0.18392999999999998,present,1
tackle coronavirus,208,0.18132,tackle,1
regard the COVID-19,206,0.17958,regard,1
call COVID-19,204,0.17783,call,1
avoid COVID-19,199,0.17347,avoid,1
expose to coronavirus,198,0.1726,expose,1
violate coronavirus,197,0.17173,violate,1
hit by coronavirus,196,0.17085999999999998,hit,1
stop COVID-19,194,0.16912,stop,1
focus on COVID-19,194,0.16912,focus,1
have a coronavirus,193,0.16824,have,1
treat for coronavirus,191,0.1665,treat,1
enforce COVID-19,191,0.1665,enforce,1
surround the coronavirus,190,0.16563,surround,1
declare COVID-19,190,0.16563,declare,1
live with COVID-19,188,0.16388,live,1
infect by COVID-19,188,0.16388,infect,1
curb the coronavirus,186,0.16214,curb,1
tackle the COVID-19,184,0.1604,tackle,1
take the COVID-19,183,0.15953,take,1
diagnose COVID-19,183,0.15953,diagnose,1
manage the coronavirus,182,0.15865,manage,1
bring COVID-19,182,0.15865,bring,1
support COVID-19,181,0.15778,support,1
surround the COVID-19,176,0.15342,surround,1
think COVID-19,175,0.15255,think,1
navigate the COVID-19,175,0.15255,navigate,1
defeat COVID-19,175,0.15255,defeat,1
use the coronavirus,173,0.15081,use,1
use the COVID-19,172,0.14994000000000002,use,1
adapt to COVID-19,171,0.14907,adapt,1
survive the coronavirus,168,0.14645,survive,1
develop a coronavirus,167,0.14558,develop,1
flout coronavirus,164,0.14296,flout,1
develop coronavirus,164,0.14296,develop,1
monitor COVID-19,163,0.14209000000000002,monitor,1
be that COVID-19,162,0.14122,be,1
see coronavirus,161,0.14035,see,1
receive a COVID-19,161,0.14035,receive,1
face COVID-19,161,0.14035,face,1
concern about COVID-19,161,0.14035,concern,1
cope with COVID-19,160,0.13948,cope,1
give the coronavirus,159,0.1386,give,1
lose to COVID-19,158,0.13773,lose,1
know COVID-19,157,0.13685999999999998,know,1
downplay the coronavirus,157,0.13685999999999998,downplay,1
contain coronavirus,154,0.13425,contain,1
record [number] coronavirus,153,0.13337000000000002,record,1
do COVID-19,152,0.1325,do,1
be no COVID-19,152,0.1325,be,1
owe to COVID-19,151,0.13163,owe,1
identify COVID-19,150,0.13076,identify,1
breach COVID-19,150,0.13076,breach,1
battle the COVID-19,150,0.13076,battle,1
ease COVID-19,149,0.12989,ease,1
control the COVID-19,149,0.12989,control,1
mitigate COVID-19,148,0.12902,mitigate,1
keep the coronavirus,148,0.12902,keep,1
believe COVID-19,148,0.12902,believe,1
include coronavirus,147,0.12814,include,1
exacerbate by COVID-19,147,0.12814,exacerbate,1
ease coronavirus,146,0.12727,ease,1
cover COVID-19,144,0.12553,cover,1
curb coronavirus,142,0.12379000000000001,curb,1
regard coronavirus,140,0.12204000000000001,regard,1
keep coronavirus,140,0.12204000000000001,keep,1
follow his COVID-19,140,0.12204000000000001,follow,1
treat the coronavirus,138,0.1203,treat,1
overcome COVID-19,138,0.1203,overcome,1
contract the COVID-19,138,0.1203,contract,1
weather the COVID-19,137,0.11943,weather,1
implement COVID-19,137,0.11943,implement,1
follow a COVID-19,137,0.11943,follow,1
enforce coronavirus,137,0.11943,enforce,1
soar coronavirus,136,0.11855,soar,1
note that COVID-19,136,0.11855,note,1
grow COVID-19,136,0.11855,grow,1
be before COVID-19,136,0.11855,be,1
hospitalize with coronavirus,135,0.11767999999999999,hospitalize,1
cite the coronavirus,134,0.11681,cite,1
offer free COVID-19,133,0.11594000000000006,offer,1
observe COVID-19,133,0.11594000000000006,observe,1
call the coronavirus,133,0.11594000000000006,call,1
know that COVID-19,131,0.1142,know,1
have the COVID-19,131,0.1142,have,1
have [number] coronavirus,130,0.11332,have,1
worsen coronavirus,129,0.11245,worsen,1
stop the coronavirus,129,0.11245,stop,1
show that COVID-19,129,0.11245,show,1
show coronavirus,129,0.11245,show,1
find COVID-19,129,0.11245,find,1
prevent the coronavirus,128,0.11158,prevent,1
worsen COVID-19,127,0.11070999999999999,worsen,1
follow his coronavirus,126,0.10984000000000001,follow,1
update COVID-19,124,0.10809,update,1
suspect COVID-19,124,0.10809,suspect,1
screen for COVID-19,124,0.10809,screen,1
reduce coronavirus,124,0.10809,reduce,1
distribute COVID-19,124,0.10809,distribute,1
die with coronavirus,124,0.10809,die,1
fight against COVID-19,123,0.10722000000000001,fight,1
surge COVID-19,122,0.10635,surge,1
meet COVID-19,122,0.10635,meet,1
have have coronavirus,122,0.10635,have have,2
end the COVID-19,122,0.10635,end,1
grow coronavirus,121,0.10547999999999999,grow,1
impact by coronavirus,119,0.10374000000000001,impact,1
consider COVID-19,118,0.10286,consider,1
approve COVID-19,118,0.10286,approve,1
die with COVID-19,117,0.10199,die,1
defeat the coronavirus,117,0.10199,defeat,1
bring the coronavirus,117,0.10199,bring,1
tighten coronavirus,116,0.10112,tighten,1
know about COVID-19,116,0.10112,know,1
administer COVID-19,116,0.10112,administer,1
use coronavirus,115,0.10025,use,1
hospitalize coronavirus,115,0.10025,hospitalize,1
confirm [number] COVID-19,114,0.09938,confirm,1
allow COVID-19,114,0.09938,allow,1
find that COVID-19,113,0.09851,find,1
confirm positive COVID-19,113,0.09851,confirm,1
concern COVID-19,113,0.09851,concern,1
compare COVID-19,112,0.09763,compare,1
weather the coronavirus,111,0.09676,weather,1
expand COVID-19,110,0.09589,expand,1
experience coronavirus,109,0.09502000000000001,experience,1
be not COVID-19,109,0.09502000000000001,be,1
navigate COVID-19,108,0.09415,navigate,1
do with COVID-19,108,0.09415,do,1
care for COVID-19,108,0.09415,care,1
believe that COVID-19,108,0.09415,believe,1
worry about COVID-19,107,0.09327,worry,1
expect COVID-19,107,0.09327,expect,1
drive by COVID-19,107,0.09327,drive,1
talk about COVID-19,106,0.0924,talk,1
suggest that COVID-19,106,0.0924,suggest,1
report positive COVID-19,106,0.0924,report,1
know as COVID-19,106,0.0924,know,1
come to coronavirus,106,0.0924,come,1
tie to COVID-19,105,0.09153,tie,1
survive the COVID-19,105,0.09153,survive,1
spread of COVID-19,104,0.09066,spread,1
follow all COVID-19,104,0.09066,follow,1
control coronavirus,104,0.09066,control,1
acquire COVID-19,104,0.09066,acquire,1
track coronavirus,103,0.08979,track,1
say that coronavirus,103,0.08979,say,1
link to coronavirus,103,0.08979,link,1
let the coronavirus,103,0.08979,let,1
cure COVID-19,103,0.08979,cure,1
suffer from coronavirus,102,0.08892,suffer,1
come as coronavirus,102,0.08892,come,1
hospitalise with COVID-19,101,0.08804,hospitalise,1
handle coronavirus,101,0.08804,handle,1
face the COVID-19,101,0.08804,face,1
ensure COVID-19,101,0.08804,ensure,1
occupy by COVID-19,100,0.08717000000000001,occupy,1
loot COVID-19,100,0.08717000000000001,loot,1
help COVID-19,100,0.08717000000000001,help,1
follow a coronavirus,100,0.08717000000000001,follow,1
come COVID-19,100,0.08717000000000001,come,1
protect against coronavirus,99,0.0863,protect,1
pass COVID-19,99,0.0863,pass,1
create a COVID-19,99,0.0863,create,1
blame the coronavirus,99,0.0863,blame,1
be no coronavirus,98,0.08542999999999999,be,1
announce COVID-19,98,0.08542999999999999,announce,1
use for COVID-19,97,0.08456,use,1
undergo a COVID-19,97,0.08456,undergo,1
get the COVID-19,97,0.08456,get,1
come as COVID-19,97,0.08456,come,1
flout COVID-19,96,0.08369,flout,1
comply with coronavirus,96,0.08369,comply,1
detect coronavirus,95,0.08281000000000001,detect,1
believe the coronavirus,95,0.08281000000000001,believe,1
rage coronavirus,94,0.08194,rage,1
have no COVID-19,94,0.08194,have,1
undergo coronavirus,93,0.08107,undergo,1
report a COVID-19,93,0.08107,report,1
understand COVID-19,92,0.0802,understand,1
test coronavirus,92,0.0802,test,1
overcome the coronavirus,92,0.0802,overcome,1
overcome the COVID-19,92,0.0802,overcome,1
disrupt by COVID-19,92,0.0802,disrupt,1
discuss the coronavirus,92,0.0802,discuss,1
declare a COVID-19,91,0.07933,declare,1
cause coronavirus,91,0.07933,cause,1
add [number] COVID-19,91,0.07933,add,1
release COVID-19,90,0.07846,release,1
provide free COVID-19,90,0.07846,provide,1
cite the COVID-19,90,0.07846,cite,1
beat the coronavirus,90,0.07846,beat,1
review COVID-19,89,0.07758,review,1
make the coronavirus,89,0.07758,make,1
cite coronavirus,89,0.07758,cite,1
base on COVID-19,88,0.07671,base,1
arise from COVID-19,88,0.07671,arise,1
post COVID-19,87,0.07584,post,1
monitor the COVID-19,87,0.07584,monitor,1
make coronavirus,87,0.07584,make,1
evolve COVID-19,87,0.07584,evolve,1
