Concordance,Frequency,Pmil,Verb,Count
confirm coronavirus,7804,0.12621,confirm,1
have coronavirus,7476,0.1209,have,1
have COVID-19,7404,0.11974,have,1
relate to COVID-19,5709,0.09233,relate,1
fight the coronavirus,5677,0.09181,fight,1
contract COVID-19,5583,0.09029,contract,1
confirm COVID-19,5451,0.08816,confirm,1
test for COVID-19,5376,0.08694,test,1
test for coronavirus,4694,0.07591,test,1
fight coronavirus,4458,0.0721,fight,1
spread coronavirus,4414,0.07138,spread,1
combat the coronavirus,4300,0.06954,combat,1
diagnose with COVID-19,4206,0.06802000000000001,diagnose,1
contract the coronavirus,3867,0.06254,contract,1
fight COVID-19,3640,0.05887000000000001,fight,1
contain the coronavirus,3595,0.05814,contain,1
have the coronavirus,3571,0.05775,have,1
diagnose with coronavirus,3511,0.05678,diagnose,1
know as COVID-19,3427,0.05542,know,1
affect by COVID-19,3417,0.05526,affect,1
treat COVID-19,3392,0.05486,treat,1
infect with coronavirus,3333,0.0539,infect,1
infect with COVID-19,3324,0.05376,infect,1
contract coronavirus,3203,0.0518,contract,1
combat COVID-19,3077,0.049760000000000006,combat,1
treat coronavirus,2946,0.04764,treat,1
combat coronavirus,2806,0.04538,combat,1
say the coronavirus,2800,0.04528,say,1
die from coronavirus,2647,0.04281,die,1
cause COVID-19,2593,0.04193,cause,1
regard COVID-19,2588,0.04185,regard,1
grow coronavirus,2375,0.03841,grow,1
affect by coronavirus,2337,0.03779,affect,1
relate to coronavirus,2180,0.03526,relate,1
tackle the coronavirus,2171,0.03511,tackle,1
regard the coronavirus,2169,0.03508,regard,1
die from COVID-19,2151,0.034789999999999995,die,1
impact by COVID-19,2134,0.03451,impact,1
get coronavirus,2064,0.03338,get,1
prevent coronavirus,1937,0.031330000000000004,prevent,1
be COVID-19,1934,0.03128,be,1
surround the coronavirus,1883,0.03045,surround,1
cause by COVID-19,1839,0.02974,cause,1
die of coronavirus,1823,0.029480000000000006,die,1
be coronavirus,1820,0.02943,be,1
spread COVID-19,1819,0.02942,spread,1
cause by coronavirus,1815,0.02935,cause,1
deal with coronavirus,1814,0.02934,deal,1
spread the coronavirus,1800,0.029110000000000007,spread,1
follow the coronavirus,1738,0.028110000000000003,follow,1
respond to COVID-19,1720,0.02782,respond,1
expose to COVID-19,1668,0.02698,expose,1
prevent COVID-19,1637,0.02647,prevent,1
contain COVID-19,1637,0.02647,contain,1
deal with COVID-19,1593,0.02576,deal,1
battle the coronavirus,1579,0.02554,battle,1
catch coronavirus,1534,0.02481,catch,1
be the coronavirus,1530,0.02474,be,1
tackle coronavirus,1523,0.024630000000000003,tackle,1
address the coronavirus,1491,0.02411,address,1
say coronavirus,1467,0.02372,say,1
get COVID-19,1408,0.02277,get,1
die of COVID-19,1404,0.02271,die,1
have contract COVID-19,1402,0.02267,have contract,2
call COVID-19,1379,0.0223,call,1
contain coronavirus,1365,0.02208,contain,1
surround COVID-19,1309,0.02117,surround,1
fight the COVID-19,1245,0.02013,fight,1
handle the coronavirus,1235,0.01997,handle,1
have contract coronavirus,1223,0.01978,have contract,2
regard coronavirus,1219,0.01971,regard,1
get the coronavirus,1170,0.01892,get,1
associate with COVID-19,1167,0.01887,associate,1
say COVID-19,1154,0.01866,say,1
combat the COVID-19,1153,0.01865,combat,1
catch the coronavirus,1100,0.01779,catch,1
take the coronavirus,1091,0.01764,take,1
use the coronavirus,1051,0.017,use,1
expose to coronavirus,1041,0.01684,expose,1
recover from COVID-19,1000,0.01617,recover,1
prevent the coronavirus,967,0.01564,prevent,1
call the coronavirus,947,0.01532,call,1
contain the COVID-19,933,0.01509,contain,1
declare COVID-19,910,0.01472,declare,1
catch COVID-19,907,0.01467,catch,1
hit by coronavirus,899,0.01454,hit,1
declare the coronavirus,892,0.014430000000000004,declare,1
report coronavirus,872,0.0141,report,1
stop the coronavirus,850,0.01375,stop,1
address the COVID-19,850,0.01375,address,1
address COVID-19,848,0.01371,address,1
impact by coronavirus,838,0.01355,impact,1
regard the COVID-19,779,0.0126,regard,1
recover from coronavirus,779,0.0126,recover,1
respond to coronavirus,778,0.01258,respond,1
declare coronavirus,758,0.01226,declare,1
take coronavirus,753,0.01218,take,1
tackle COVID-19,753,0.01218,tackle,1
discuss the coronavirus,750,0.01213,discuss,1
stop coronavirus,745,0.01205,stop,1
battle coronavirus,744,0.01203,battle,1
escalate coronavirus,722,0.01168,escalate,1
pose by COVID-19,721,0.01166,pose,1
include COVID-19,711,0.0115,include,1
battle COVID-19,702,0.01135,battle,1
develop COVID-19,697,0.01127,develop,1
monitor the coronavirus,696,0.01126,monitor,1
worsen coronavirus,688,0.01113,worsen,1
be a coronavirus,687,0.01111,be,1
curb the coronavirus,678,0.01096,curb,1
say the COVID-19,673,0.01088,say,1
prepare for coronavirus,667,0.01079,prepare,1
surround the COVID-19,662,0.01071,surround,1
treat the coronavirus,646,0.01045,treat,1
monitor the COVID-19,646,0.01045,monitor,1
call coronavirus,636,0.01029,call,1
grow COVID-19,632,0.01022,grow,1
prepare for COVID-19,624,0.01009,prepare,1
survive the coronavirus,610,0.00987,survive,1
evolve COVID-19,608,0.00983,evolve,1
develop coronavirus,604,0.00977,develop,1
follow coronavirus,600,0.0097,follow,1
avoid coronavirus,596,0.00964,avoid,1
handle COVID-19,587,0.00949,handle,1
report [number] coronavirus,583,0.00943,report,1
know coronavirus,580,0.00938,know,1
take COVID-19,577,0.00933,take,1
suffer from coronavirus,574,0.00928,suffer,1
surround coronavirus,554,0.00896,surround,1
control the coronavirus,547,0.00885,control,1
handle coronavirus,545,0.00881,handle,1
follow the COVID-19,545,0.00881,follow,1
discuss coronavirus,543,0.00878,discuss,1
know as coronavirus,542,0.00877,know,1
hit by COVID-19,542,0.00877,hit,1
cope with coronavirus,539,0.00872,cope,1
address coronavirus,538,0.0087,address,1
infect by COVID-19,535,0.00865,infect,1
use coronavirus,532,0.0086,use,1
curb coronavirus,527,0.00852,curb,1
show coronavirus,519,0.00839,show,1
give the coronavirus,513,0.0083,give,1
rise coronavirus,512,0.00828,rise,1
stop COVID-19,511,0.00826,stop,1
contract the COVID-19,507,0.0082,contract,1
have [number] coronavirus,506,0.00818,have,1
cancel over coronavirus,500,0.00809,cancel,1
spread of coronavirus,489,0.007909999999999999,spread,1
make coronavirus,489,0.007909999999999999,make,1
