Concordance,Frequency,Pmil,Verb,Count
contract COVID-19,4459,0.07211000000000001,contract,1
relate to COVID-19,4132,0.06682,relate,1
have COVID-19,3816,0.06171,have,1
test for COVID-19,2932,0.04742,test,1
recover from COVID-19,2507,0.04054,recover,1
die from COVID-19,2421,0.03915,die,1
confirm COVID-19,2313,0.03741,confirm,1
die of COVID-19,2244,0.036289999999999996,die,1
treat COVID-19,2118,0.03425,treat,1
cause by COVID-19,2084,0.0337,cause,1
impact by COVID-19,1988,0.03215,impact,1
infect with COVID-19,1829,0.029580000000000002,infect,1
confirm coronavirus,1785,0.02887,confirm,1
affect by COVID-19,1749,0.02829,affect,1
be COVID-19,1737,0.028089999999999997,be,1
fight COVID-19,1718,0.027780000000000003,fight,1
cause COVID-19,1666,0.02694,cause,1
diagnose with COVID-19,1596,0.025810000000000003,diagnose,1
contract the coronavirus,1502,0.02429,contract,1
get COVID-19,1316,0.02128,get,1
have coronavirus,1312,0.02122,have,1
say COVID-19,1254,0.02028,say,1
spread COVID-19,1202,0.01944,spread,1
expose to COVID-19,1139,0.01842,expose,1
combat COVID-19,1081,0.017480000000000002,combat,1
follow the coronavirus,1041,0.01684,follow,1
fight the coronavirus,1020,0.0165,fight,1
associate with COVID-19,996,0.01611,associate,1
say the coronavirus,987,0.01596,say,1
contract coronavirus,969,0.01567,contract,1
follow COVID-19,957,0.01548,follow,1
prevent COVID-19,950,0.015359999999999999,prevent,1
test for coronavirus,948,0.015330000000000003,test,1
include COVID-19,861,0.013919999999999998,include,1
regard COVID-19,843,0.013630000000000001,regard,1
catch COVID-19,828,0.01339,catch,1
deal with COVID-19,827,0.013369999999999998,deal,1
have contract COVID-19,826,0.013359999999999999,have contract,2
contain the coronavirus,819,0.01325,contain,1
follow the COVID-19,786,0.012709999999999999,follow,1
combat the coronavirus,784,0.01268,combat,1
say the COVID-19,775,0.01253,say,1
hospitalize with COVID-19,759,0.01227,hospitalize,1
die from coronavirus,757,0.012240000000000001,die,1
rise coronavirus,741,0.01198,rise,1
spread the coronavirus,732,0.01184,spread,1
infect with coronavirus,729,0.01179,infect,1
contain COVID-19,721,0.01166,contain,1
have the coronavirus,712,0.01151,have,1
die of coronavirus,697,0.01127,die,1
battle COVID-19,677,0.01095,battle,1
report COVID-19,675,0.010920000000000001,report,1
rise COVID-19,663,0.01072,rise,1
respond to COVID-19,640,0.01035,respond,1
report [number] COVID-19,594,0.009609999999999999,report,1
recover from coronavirus,591,0.009559999999999999,recover,1
test COVID-19,585,0.00946,test,1
catch coronavirus,562,0.00909,catch,1
surround COVID-19,558,0.00902,surround,1
spread coronavirus,551,0.00891,spread,1
handle the coronavirus,548,0.00886,handle,1
fight the COVID-19,513,0.0083,fight,1
get coronavirus,510,0.00825,get,1
succumb to COVID-19,498,0.00805,succumb,1
pose by COVID-19,494,0.00799,pose,1
treat coronavirus,475,0.0076799999999999985,treat,1
develop COVID-19,469,0.00758,develop,1
recover COVID-19,466,0.0075400000000000016,recover,1
provide COVID-19,465,0.0075200000000000015,provide,1
keep COVID-19,450,0.00728,keep,1
take COVID-19,448,0.00725,take,1
battle the coronavirus,446,0.0072099999999999985,battle,1
link to COVID-19,442,0.00715,link,1
hit by COVID-19,442,0.00715,hit,1
address COVID-19,435,0.00703,address,1
be the coronavirus,429,0.006940000000000001,be,1
be coronavirus,424,0.00686,be,1
report coronavirus,418,0.0067599999999999995,report,1
increase COVID-19,418,0.0067599999999999995,increase,1
catch the coronavirus,418,0.0067599999999999995,catch,1
undergo COVID-19,417,0.00674,undergo,1
be [number] COVID-19,415,0.00671,be,1
be a COVID-19,414,0.0067,be,1
have a COVID-19,405,0.00655,have,1
fight coronavirus,401,0.006490000000000001,fight,1
diagnose with coronavirus,397,0.00642,diagnose,1
cause by coronavirus,391,0.00632,cause,1
detect COVID-19,384,0.00621,detect,1
combat the COVID-19,382,0.00618,combat,1
get a COVID-19,381,0.0061600000000000005,get,1
attribute to COVID-19,379,0.00613,attribute,1
hospitalize COVID-19,374,0.00605,hospitalize,1
take a COVID-19,372,0.00602,take,1
create by COVID-19,372,0.00602,create,1
say coronavirus,365,0.0059,say,1
address the COVID-19,363,0.00587,address,1
relate to coronavirus,360,0.0058200000000000005,relate,1
use COVID-19,355,0.0057399999999999994,use,1
contain the COVID-19,354,0.00573,contain,1
record [number] COVID-19,345,0.00558,record,1
get the coronavirus,344,0.00556,get,1
manage COVID-19,343,0.00555,manage,1
be the COVID-19,339,0.00548,be,1
follow coronavirus,336,0.00543,follow,1
survive COVID-19,335,0.00542,survive,1
report [number] coronavirus,332,0.005370000000000001,report,1
handle COVID-19,330,0.00534,handle,1
present by COVID-19,328,0.0053,present,1
violate COVID-19,326,0.00527,violate,1
develop a COVID-19,326,0.00527,develop,1
say that COVID-19,321,0.00519,say,1
result from COVID-19,320,0.00518,result,1
see COVID-19,319,0.0051600000000000005,see,1
adhere to COVID-19,319,0.0051600000000000005,adhere,1
comply with COVID-19,316,0.00511,comply,1
transmit COVID-19,313,0.00506,transmit,1
prevent coronavirus,312,0.00505,prevent,1
surround the coronavirus,309,0.005,surround,1
tackle the coronavirus,306,0.00495,tackle,1
come to COVID-19,306,0.00495,come,1
give the COVID-19,303,0.0049,give,1
control COVID-19,303,0.0049,control,1
be a coronavirus,301,0.00487,be,1
control the coronavirus,300,0.00485,control,1
tackle COVID-19,295,0.00477,tackle,1
surround the COVID-19,287,0.00464,surround,1
handle the COVID-19,283,0.00458,handle,1
have have COVID-19,280,0.004529999999999999,have have,2
affect by coronavirus,280,0.004529999999999999,affect,1
experience COVID-19,279,0.00451,experience,1
regard the coronavirus,274,0.00443,regard,1
suffer from COVID-19,272,0.0044,suffer,1
hospitalize for COVID-19,271,0.004379999999999999,hospitalize,1
track COVID-19,270,0.004370000000000001,track,1
reduce COVID-19,269,0.00435,reduce,1
have [number] COVID-19,268,0.00433,have,1
cite COVID-19,268,0.00433,cite,1
conduct COVID-19,267,0.00432,conduct,1
have contract coronavirus,265,0.0042899999999999995,have contract,2
make COVID-19,261,0.004220000000000001,make,1
combat coronavirus,261,0.004220000000000001,combat,1
use the coronavirus,258,0.00417,use,1
infect by COVID-19,257,0.0041600000000000005,infect,1
address the coronavirus,254,0.00411,address,1
get a coronavirus,251,0.00406,get,1
deal with coronavirus,247,0.00399,deal,1
stop COVID-19,243,0.0039299999999999995,stop,1
regard the COVID-19,242,0.00391,regard,1
protect against COVID-19,242,0.00391,protect,1
