Concordance,Frequency,Pmil,Verb,Count
relate to COVID-19,4436,0.07174,relate,1
contract COVID-19,4340,0.07019,contract,1
have COVID-19,4324,0.06992999999999999,have,1
test for COVID-19,3816,0.06171,test,1
confirm COVID-19,3045,0.04924,confirm,1
treat COVID-19,2919,0.04721,treat,1
die from COVID-19,2765,0.044719999999999996,die,1
die of COVID-19,2574,0.04163,die,1
confirm coronavirus,2559,0.041389999999999996,confirm,1
cause by COVID-19,2491,0.04029,cause,1
fight COVID-19,2446,0.039560000000000005,fight,1
affect by COVID-19,2366,0.03826,affect,1
recover from COVID-19,2298,0.037160000000000006,recover,1
infect with COVID-19,2116,0.03422,infect,1
impact by COVID-19,2026,0.03277,impact,1
be COVID-19,1995,0.032260000000000004,be,1
follow the coronavirus,1986,0.032119999999999996,follow,1
cause COVID-19,1932,0.03125,cause,1
contract the coronavirus,1848,0.029889999999999996,contract,1
diagnose with COVID-19,1846,0.02985,diagnose,1
have coronavirus,1808,0.02924,have,1
fight the coronavirus,1665,0.026930000000000003,fight,1
combat COVID-19,1642,0.026560000000000004,combat,1
test for coronavirus,1455,0.023530000000000002,test,1
say the coronavirus,1432,0.02316,say,1
say COVID-19,1352,0.02187,say,1
spread COVID-19,1331,0.02153,spread,1
die from coronavirus,1274,0.0206,die,1
contract coronavirus,1271,0.02056,contract,1
contain the coronavirus,1231,0.01991,contain,1
follow the COVID-19,1230,0.01989,follow,1
die of coronavirus,1214,0.01963,die,1
get COVID-19,1198,0.01937,get,1
prevent COVID-19,1182,0.019119999999999998,prevent,1
infect with coronavirus,1179,0.01907,infect,1
spread the coronavirus,1105,0.01787,spread,1
combat the coronavirus,1099,0.017769999999999998,combat,1
rise coronavirus,1085,0.01755,rise,1
expose to COVID-19,1059,0.017130000000000003,expose,1
say the COVID-19,1032,0.01669,say,1
regard COVID-19,986,0.01595,regard,1
deal with COVID-19,980,0.01585,deal,1
have the coronavirus,965,0.015609999999999999,have,1
associate with COVID-19,945,0.015280000000000004,associate,1
respond to COVID-19,931,0.015059999999999999,respond,1
treat coronavirus,911,0.014730000000000004,treat,1
spread coronavirus,908,0.01468,spread,1
follow COVID-19,908,0.01468,follow,1
hospitalize with COVID-19,897,0.014509999999999999,hospitalize,1
include COVID-19,869,0.01405,include,1
contain COVID-19,869,0.01405,contain,1
fight coronavirus,856,0.01384,fight,1
fight the COVID-19,829,0.01341,fight,1
rise COVID-19,774,0.01252,rise,1
recover from coronavirus,762,0.012320000000000001,recover,1
have contract COVID-19,755,0.012209999999999999,have contract,2
catch COVID-19,741,0.01198,catch,1
battle COVID-19,717,0.0116,battle,1
report [number] COVID-19,698,0.011290000000000001,report,1
cause by coronavirus,648,0.01048,cause,1
catch coronavirus,647,0.010459999999999999,catch,1
be coronavirus,636,0.01029,be,1
test COVID-19,622,0.01006,test,1
ease coronavirus,618,0.00999,ease,1
get coronavirus,615,0.00995,get,1
