Concordance,Frequency,Pmil,Verb,Count
contract COVID-19,3929,3.58163,contract,1
have COVID-19,3773,3.43942,have,1
relate to COVID-19,3236,2.9499,relate,1
test for COVID-19,2516,2.29356,test,1
die from COVID-19,2316,2.11124,die,1
confirm COVID-19,2032,1.85235,confirm,1
recover from COVID-19,1971,1.79674,recover,1
cause by COVID-19,1869,1.70376,cause,1
die of COVID-19,1812,1.6518,die,1
cause COVID-19,1538,1.40202,cause,1
impact by COVID-19,1529,1.39382,impact,1
confirm coronavirus,1502,1.36921,confirm,1
be COVID-19,1500,1.36738,be,1
infect with COVID-19,1497,1.36465,infect,1
fight COVID-19,1493,1.361,fight,1
affect by COVID-19,1479,1.34824,affect,1
diagnose with COVID-19,1362,1.24158,diagnose,1
treat COVID-19,1342,1.22335,treat,1
have coronavirus,1328,1.21059,have,1
get COVID-19,1322,1.20512,get,1
say COVID-19,1308,1.19236,say,1
contract the coronavirus,1195,1.08935,contract,1
follow COVID-19,1170,1.06656,follow,1
expose to COVID-19,1120,1.02098,expose,1
spread COVID-19,1062,0.96811,spread,1
rise coronavirus,970,0.88424,rise,1
combat COVID-19,945,0.86145,combat,1
say the coronavirus,871,0.79399,say,1
follow the coronavirus,866,0.78944,follow,1
associate with COVID-19,850,0.77485,associate,1
prevent COVID-19,844,0.76938,prevent,1
include COVID-19,822,0.74933,include,1
fight the coronavirus,817,0.74477,fight,1
say the COVID-19,800,0.72927,say,1
contract coronavirus,799,0.72836,contract,1
hospitalize with COVID-19,773,0.70466,hospitalize,1
test for coronavirus,768,0.7001,test,1
regard COVID-19,760,0.69281,regard,1
follow the COVID-19,760,0.69281,follow,1
rise COVID-19,757,0.69007,rise,1
deal with COVID-19,754,0.68734,deal,1
catch COVID-19,725,0.6609,catch,1
report COVID-19,721,0.65726,report,1
die from coronavirus,708,0.6454,die,1
have contract COVID-19,699,0.6372,contract,2
contain the coronavirus,672,0.61259,contain,1
combat the coronavirus,617,0.56245,combat,1
respond to COVID-19,613,0.5588,respond,1
spread the coronavirus,583,0.53146,spread,1
infect with coronavirus,579,0.52781,infect,1
have the coronavirus,579,0.52781,have,1
report [number] COVID-19,564,0.51414,report,1
get a COVID-19,555,0.50593,get,1
contain COVID-19,548,0.49955,contain,1
die of coronavirus,543,0.49499,die,1
battle COVID-19,539,0.49135,battle,1
handle the coronavirus,523,0.47676,handle,1
catch coronavirus,520,0.47403,catch,1
get coronavirus,508,0.46309,get,1
test COVID-19,493,0.44941,test,1
keep COVID-19,456,0.41568,keep,1
fight the COVID-19,456,0.41568,fight,1
get a coronavirus,448,0.40839,get,1
provide COVID-19,445,0.40566,provide,1
develop COVID-19,445,0.40566,develop,1
pose by COVID-19,444,0.40475,pose,1
recover from coronavirus,436,0.39745,recover,1
have a COVID-19,436,0.39745,have,1
increase COVID-19,433,0.39472,increase,1
surround COVID-19,431,0.39289,surround,1
be a COVID-19,428,0.39016,be,1
say . COVID-19,427,0.38925,say,1
be the coronavirus,414,0.3774,be,1
say coronavirus,410,0.37375,say,1
hit by COVID-19,410,0.37375,hit,1
spread coronavirus,409,0.37284,spread,1
follow coronavirus,408,0.37193,follow,1
take COVID-19,407,0.37102,take,1
be [number] COVID-19,397,0.3619,be,1
catch the coronavirus,394,0.35917,catch,1
violate COVID-19,385,0.35096,violate,1
treat coronavirus,385,0.35096,treat,1
link to COVID-19,377,0.34367,link,1
address COVID-19,374,0.34093,address,1
fight coronavirus,372,0.33911,fight,1
combat the COVID-19,371,0.3382,combat,1
report coronavirus,370,0.33729,report,1
be coronavirus,363,0.33091,be,1
track COVID-19,361,0.32908,track,1
detect COVID-19,355,0.32361,detect,1
hospitalize COVID-19,348,0.31723,hospitalize,1
attribute to COVID-19,348,0.31723,attribute,1
say that COVID-19,332,0.30265,say,1
reduce COVID-19,332,0.30265,reduce,1
succumb to COVID-19,330,0.30082,succumb,1
diagnose with coronavirus,328,0.299,diagnose,1
handle COVID-19,325,0.29627,handle,1
affect by coronavirus,325,0.29627,affect,1
battle the coronavirus,321,0.29262,battle,1
offer COVID-19,316,0.28806,offer,1
manage COVID-19,313,0.28533,manage,1
develop a COVID-19,311,0.2835,develop,1
address the COVID-19,311,0.2835,address,1
cause by coronavirus,310,0.28259,cause,1
comply with COVID-19,306,0.27895,comply,1
undergo COVID-19,303,0.27621,undergo,1
take a COVID-19,300,0.27348,take,1
tackle the coronavirus,300,0.27348,tackle,1
get the coronavirus,300,0.27348,get,1
come to COVID-19,299,0.27256,come,1
create by COVID-19,297,0.27074,create,1
be the COVID-19,296,0.26983,be,1
relate to coronavirus,294,0.26801,relate,1
tackle COVID-19,293,0.2671,tackle,1
record [number] COVID-19,292,0.26618,record,1
make COVID-19,290,0.26436,make,1
adhere to COVID-19,288,0.26254,adhere,1
handle the COVID-19,285,0.2598,handle,1
control COVID-19,283,0.25798,control,1
prevent coronavirus,278,0.25342,prevent,1
use COVID-19,276,0.2516,use,1
have have COVID-19,276,0.2516,have,2
show COVID-19,275,0.25069,show,1
see COVID-19,266,0.24248,see,1
control the coronavirus,266,0.24248,control,1
hospitalize for COVID-19,261,0.23792,hospitalize,1
conduct COVID-19,260,0.23701,conduct,1
give the COVID-19,256,0.23337,give,1
breach coronavirus,256,0.23337,breach,1
manage the COVID-19,254,0.23154,manage,1
survive COVID-19,250,0.2279,survive,1
result from COVID-19,247,0.22516,result,1
report [number] coronavirus,247,0.22516,report,1
downplay the coronavirus,247,0.22516,downplay,1
contain the COVID-19,247,0.22516,contain,1
surround the coronavirus,246,0.22425,surround,1
be a coronavirus,246,0.22425,be,1
break coronavirus,245,0.22334,break,1
experience COVID-19,241,0.21969,experience,1
recover COVID-19,240,0.21878,recover,1
take a coronavirus,237,0.21605,take,1
have contract coronavirus,237,0.21605,contract,2
hit by coronavirus,233,0.2124,hit,1
suffer from COVID-19,230,0.20967,suffer,1
regard the coronavirus,229,0.20875,regard,1
protect against COVID-19,229,0.20875,protect,1
present by COVID-19,226,0.20602,present,1
include the COVID-19,225,0.20511,include,1
deal with coronavirus,222,0.20237,deal,1
include the coronavirus,220,0.20055,include,1
declare COVID-19,218,0.19873,declare,1
address the coronavirus,216,0.1969,address,1
have a coronavirus,213,0.19417,have,1
live with COVID-19,212,0.19326,live,1
manage the coronavirus,211,0.19235,manage,1
cite COVID-19,208,0.18961,cite,1
break COVID-19,208,0.18961,break,1
use the COVID-19,207,0.1887,use,1
surround the COVID-19,205,0.18688,surround,1
use the coronavirus,201,0.18323,use,1
combat coronavirus,201,0.18323,combat,1
have [number] COVID-19,200,0.18232,have,1
discuss COVID-19,197,0.17958,discuss,1
develop a coronavirus,197,0.17958,develop,1
increase coronavirus,195,0.17776,increase,1
take the coronavirus,192,0.17502,take,1
monitor COVID-19,191,0.17411,monitor,1
call COVID-19,190,0.1732,call,1
take coronavirus,188,0.17138,take,1
tackle the COVID-19,187,0.17047,tackle,1
expose to coronavirus,187,0.17047,expose,1
ease COVID-19,187,0.17047,ease,1
transmit COVID-19,186,0.16956,transmit,1
know COVID-19,186,0.16956,know,1
develop coronavirus,186,0.16956,develop,1
give COVID-19,185,0.16864,give,1
beat COVID-19,185,0.16864,beat,1
survive the coronavirus,184,0.16773,survive,1
owe to COVID-19,183,0.16682,owe,1
defeat COVID-19,183,0.16682,defeat,1
support COVID-19,182,0.16591,support,1
infect by COVID-19,182,0.16591,infect,1
tackle coronavirus,181,0.165,tackle,1
receive COVID-19,181,0.165,receive,1
regard the COVID-19,180,0.16409,regard,1
cope with COVID-19,179,0.16317,cope,1
battle coronavirus,177,0.16135,battle,1
navigate the COVID-19,175,0.15953,navigate,1
stop COVID-19,174,0.15862,stop,1
bring COVID-19,173,0.1577,bring,1
keep the coronavirus,172,0.15679,keep,1
focus on COVID-19,168,0.15315,focus,1
be [number] coronavirus,168,0.15315,be,1
curb the coronavirus,167,0.15224,curb,1
violate coronavirus,166,0.15132,violate,1
give the coronavirus,166,0.15132,give,1
ease coronavirus,165,0.15041,ease,1
find COVID-19,163,0.14859,find,1
battle the COVID-19,163,0.14859,battle,1
curb COVID-19,162,0.14768,curb,1
enforce COVID-19,160,0.14585,enforce,1
contain coronavirus,157,0.14312,contain,1
record [number] coronavirus,156,0.14221,record,1
take the COVID-19,155,0.1413,take,1
adapt to COVID-19,154,0.14038,adapt,1
update COVID-19,153,0.13947,update,1
treat for COVID-19,153,0.13947,treat,1
mitigate COVID-19,153,0.13947,mitigate,1
diagnose COVID-19,153,0.13947,diagnose,1
detect coronavirus,153,0.13947,detect,1
avoid COVID-19,153,0.13947,avoid,1
lose to COVID-19,151,0.13765,lose,1
include coronavirus,151,0.13765,include,1
do COVID-19,151,0.13765,do,1
suspect COVID-19,150,0.13674,suspect,1
expand COVID-19,148,0.13492,expand,1
screen for COVID-19,146,0.13309,screen,1
cite the coronavirus,146,0.13309,cite,1
be no COVID-19,146,0.13309,be,1
prevent the coronavirus,145,0.13218,prevent,1
cover COVID-19,144,0.13127,cover,1
receive a COVID-19,143,0.13036,receive,1
have the COVID-19,143,0.13036,have,1
identify COVID-19,142,0.12945,identify,1
think COVID-19,141,0.12853,think,1
believe COVID-19,141,0.12853,believe,1
weather the coronavirus,140,0.12762,weather,1
show coronavirus,140,0.12762,show,1
impact by coronavirus,140,0.12762,impact,1
concern about COVID-19,140,0.12762,concern,1
breach COVID-19,140,0.12762,breach,1
be that COVID-19,140,0.12762,be,1
keep coronavirus,139,0.12671,keep,1
face COVID-19,139,0.12671,face,1
control the COVID-19,139,0.12671,control,1
overcome COVID-19,138,0.1258,overcome,1
implement COVID-19,137,0.12489,implement,1
observe COVID-19,134,0.12215,observe,1
note that COVID-19,134,0.12215,note,1
confirm positive COVID-19,134,0.12215,confirm,1
weather the COVID-19,133,0.12124,weather,1
offer free COVID-19,133,0.12124,offer,1
know that COVID-19,130,0.11851,know,1
use coronavirus,129,0.11759,use,1
meet COVID-19,129,0.11759,meet,1
cite coronavirus,129,0.11759,cite,1
see coronavirus,127,0.11577,see,1
confirm [number] COVID-19,127,0.11577,confirm,1
call the coronavirus,125,0.11395,call,1
stop the coronavirus,123,0.11213,stop,1
regard coronavirus,123,0.11213,regard,1
improve COVID-19,123,0.11213,improve,1
enforce coronavirus,123,0.11213,enforce,1
fight against COVID-19,120,0.10939,fight,1
post COVID-19,119,0.10848,post,1
think the coronavirus,118,0.10757,think,1
link to coronavirus,118,0.10757,link,1
distribute a coronavirus,118,0.10757,distribute,1
be before COVID-19,118,0.10757,be,1
know the coronavirus,117,0.10666,know,1
believe the coronavirus,117,0.10666,believe,1
worry about COVID-19,116,0.10574,worry,1
flout coronavirus,116,0.10574,flout,1
overcome the COVID-19,115,0.10483,overcome,1
show that COVID-19,114,0.10392,show,1
survive the COVID-19,113,0.10301,survive,1
die with COVID-19,113,0.10301,die,1
create a COVID-19,113,0.10301,create,1
comply with coronavirus,113,0.10301,comply,1
care for COVID-19,113,0.10301,care,1
release COVID-19,112,0.1021,release,1
involve COVID-19,112,0.1021,involve,1
face the COVID-19,112,0.1021,face,1
